fen,uci,comment
r1bq3r/pp3k1p/2np3p/2bQp3/4P3/2P2N2/P4PPP/RN3RK1 b - - 1 12,f7e7,much better was simply
r2q3r/pp2k2p/2npb2p/2b1p3/4P3/2PQ1N2/P2N1PPP/R4RK1 b - - 5 14,d8g8,Tried to double up queen and rook. Thought that was the only alternative! tomaro: That is a good plan.
r5qr/pp2k2p/2npb2p/1Qb1p3/4P3/2P2N2/P2N1PPP/R4RK1 b - - 7 15,a8b8,Trying to push the pawn after I make the queen leave tomaro: there is no real need to make his queen leave from there.From there she can not protect his castle and your attack should be faster than his.
1r5r/pp2k2p/2npb2p/1Qb1p1q1/4P2N/2P5/P2N1PPP/R4RK1 w - - 10 17,h4f5,Should I have exchanged my bishop for horse? tomaro: Yes! More pieces you exchange your material advantage is more significant.Also his knight was strong and you gain one pawn :)
1r5r/pp2k2p/2np3p/1Qb1pbq1/4P3/2P2N2/P4PPP/R4RK1 b - - 1 18,g5f4,trying to keep the queen there for my pawn
1r5r/pp2k2p/2np3p/1Qb1pq2/8/2P2N2/P4PPP/4RRK1 b - - 1 20,a7a6,as I sad before this is not necessary.
1r5r/4k2p/p1np3p/1pb1pq2/2Q5/2P2N2/P4PPP/4RRK1 w - - 0 22,c4h4,simple Qf6 was also good
1r5r/3k3p/p1np3Q/1pb1pq2/8/2P2N2/P4PPP/4RRK1 b - - 0 23,b5b4,Your plan doesn't look good. You have to exploite open files (g and f) to attack (not open other files giving white some chances!):
1r5r/3k3p/p1np3Q/2b1pq2/1p6/2P2N2/P4PPP/4RRK1 w - - 0 24,h6g7,Why didn't he take my pawn? I thought of threatening the rook out of there
1r5r/3kn1Qp/p2p4/2b1pq2/8/2p2N2/P4PPP/3R1RK1 w - - 0 26,f3e5,should I have gone for a queen exchange? tomaro: What queen exchange !!!?You can not take in e5 after 26. .. Qxe5 27. Qxe5 becuse your pawn is pinned !!
1r5r/3kn1Qp/p2p4/2b1Nq2/8/2p5/P4PPP/3R1RK1 b - - 0 26,d7d8,"Made a mistake by moving king down. I should have moved it to f2!! Why didn't he take my rook with queen? tomaro: his move was also good,now white has good chances!"
1r5N/3kn1Qp/p2p4/2b2q2/8/8/P1p2PPP/2R2RK1 b - - 1 29,c5a3,Time to execute my plan
1r5N/3kn1Qp/p2p4/5q2/8/b7/P1p2PPP/2R2RK1 w - - 2 30,h8f7,big error:
1r6/3knNQp/p2p4/5q2/8/8/P1p2PPP/2R3K1 b - - 0 31,b8b1,SamIam resigns
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq - 1 5,g5f6,"Any thoughts on this? I see it ALOT, especially with this opponent, but I also use it alot myself, haven't quite figured out if its a bad, good, or just decent move, I like it especially if it is not quite covered, and he has to mess up his pawn structure to retaliate. Not the case here though, and I wouldn't have hit it, but he did. .. ACA: Development would be the more important point for both sides here. The developing move Nf3 would be much better a move here. The game would be level after 5.Nf3 0-0. Also by taking the knight on f6 white helps black gain better control of the long diagonal."
rnbqk2r/ppp2ppp/4pb2/3p4/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq - 0 6,g2g3,"hmm, preparing to fianchetto the kingside bishop? that would add pressure to my pawnstructure, and he could very much be preparing e4 ACA: g3 has mainly a defence role here. It protects the h4 square for a possible attack by black on the king side with h5-h4."
r1bqk2r/ppp2ppp/2n1pb2/3p4/3P4/2N1P1P1/PPP2P1P/R2QKBNR w KQkq - 1 7,d1g4,"Bad move ! This allows me to develop, while white is actually forced to move his queen back ACA: Nf3 would be about equal. With e5 you managed to gain the initiative."
r1bqk2r/ppp2ppp/2n2b2/3pp3/3P4/2N1P1P1/PPP1QP1P/R3KBNR b KQkq - 1 8,e8g8,Perhaps e4 would have been better? ACA: Taking the pawn seems the correct way to continue here.
4rrk1/ppp2ppp/2n2b2/3q4/3p4/5NP1/PPP1QP1P/2KR1B1R w - - 2 14,e2d3,"Exactly the move I was anticipating, and hoping he would make, the only actually sane choice also. My plan was now Bg5+, Nxg5, Qxh1. But then I suddenly noticed a second before I made the move, that this would be very bad, as it would allow Qxh7# !!! My plan was still to keep his knight pinned down though, as i saw no other way of attacking him quite yet, so i needed to relieve pressure from h7, a way to do this was Nb4 ACA: Good that you saw that, or it would have been the end of a good game!"
4rrk1/ppp2ppp/5b2/3q4/1n1p4/1Q3NP1/PPP2P1P/2KR1B1R b - - 5 15,c7c5,"Needed to make sure he didn't steal my horse and force me to withdraw my attack. His best answer I think would have been Bc4, it is a lot more aggresive, and it develops both the Bf1 and the Nf3, since the Knight would no longer be pinned down protecting his rook."
4rrk1/pp3ppp/5b2/2pq4/1n1p4/1Q3NP1/PPP2P1P/2KR1B1R w - - 0 16,a2a3,"Considered Na2+, but I feared i would be giving him a chance to advance his king towards the center of the board. Decided to go with swapping queens, as it would leave his kingside defence a mess, while allowing me to keep a tight grip on it, with my knight after Qxb3, cxb3, Nd5. ACA: I think your knight would be trapped in case of Na2+. He could play Kb1 and your knight is easy bate."
4rrk1/pp3ppp/5b2/2pn4/3p4/PP3NP1/1P3P1P/2KR1B1R w - - 1 18,f1c4,"Anticipated much earlier, and now it doesnt seem to pack quite the same punch. It does although allow him the possibility to get both his rooks put to use, but in doing so, he forces me to open up the weak point in my defence, the 2 neighbouring rooks."
3r1rk1/pp3ppp/1n3b2/2p5/2Bp4/PP3NP1/1P3P1P/2KRR3 w - - 5 20,c4b5,"Probably a mistake, allows me to gain tempo while advancing a pawn. ACA: white does not have much of a choice anymore.He is biding for a mistake."
3r1rk1/1p3ppp/pn3b2/1Bp5/3p4/PP3NP1/1P3P1P/2KRR3 w - - 0 21,b5c4,"Nxc4 considered, but it would allow his kingside pawn structure to become rather strong, although it might allow me certain space to attack. Chose instead to open up my defenses, and allow him to exchange rooks should he want to ACA: Your knight is better than his bishop. No need for such an exchange."
3rr1k1/1p3ppp/pn3b2/2p5/2Bp4/PP3NP1/1P3P1P/2KRR3 w - - 2 22,b3b4,"At first this move puzzled me VERY much, then i noticed the havoc it could wreak on my pawn structure, he would effectively be exchaning a bishop for 2 pawns, which at this point in the game probably could be explained. When i decided to hit on the bishop, it was with plans of Nxc4, bxc5, d3, ??, Bxb2+. He later told me the move was a blunder. ACA: Indeed it is a blunder."
3rr1k1/1p3ppp/p4b2/2p5/1Pnp4/P4NP1/1P3P1P/2KRR3 w - - 0 23,b4c5,"noticed here that in order for my plan to be effective, i had to relieve the d-file, from som pressure. Exchanging of rooks would lead to d3."
3rr1k1/1p3ppp/p4b2/2P5/2np4/P4NP1/1P3P1P/2KRR3 b - - 0 23,e8e1,"At this point I saw that the last move was a mistake, should he choose to play Nxe1, my plan would be rather shot to the ground."
3r2k1/1p3ppp/p4b2/2P5/2np4/P4NP1/1P3P1P/2K1R3 b - - 0 24,d4d3,To my luck he didn't notice the actual possibility of Nxe1 ( or he discarded it for some reason ) ACA: That move would be a last effort of desperation. Black still has an easy winner.
3r2k1/1p3ppp/p7/2P5/2n5/P2p2P1/1b1N1P1P/2K1R3 w - - 0 26,c1d1,"Suits me fine, exhanging of knights allows me to steal a pawn, which in the end could decide the game. Besides that he was a piece down, and he would be more weakened than I by exchanging"
3r2k1/1p3ppp/p7/2P5/8/P2p2P1/1b1K1P1P/4R3 b - - 0 27,b2a3,"Threatening to clean out the c-file, and thereby having 2 passed pawns."
3r2k1/1p2R1pp/p4p2/2b5/8/3p2P1/5P1P/3K4 w - - 0 31,e7b7,"Hmm, I probably should have seen that one coming."
3r2k1/6pp/5p2/p1b5/8/R2p2P1/7P/3K4 w - - 6 36,a3a5,"Another grave mistake, the game is not lost, but I am definitely allowing him alot of possibilities for counterplay."
3r2k1/6pp/5p2/1R6/8/3p2P1/7P/3K2b1 w - - 7 40,h2h4,"Bad move, h3 would have prevented me from getting a pawn just now"
3r3k/7p/8/8/8/4bR1p/3p1p2/3K4 w - - 0 56,f3e3,And he effectively surrendered.
3r3k/7p/8/8/1K6/4R2p/8/2qq4 b - - 1 59,d8b8,"wooops, missed the rook.... :) White resigned here at last, only possible move was Ka5, to be followed by Qa1+, Ra3, Qxa3# ACA: Your play at the beginning of the game seems fine. You managed to secure a couple of nice attacks. Their were a couple of better tries, but these can be seen as a matter of taste. The main point that you should beware of is towards the endgame. You do not need to pick up every pawn off the board before going in for a promotion. You can use your own pieces in defending an advancing pawn and queen. My advice would be for your working on these positions. They will be great in advancing your play at all stages of the game. I hope I have been helpful. Good luck in your future games!"
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e4e5,I studied a game by Kasparov where he played the Advance variation so I thought I'd try that out. Anotheroptionis
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,c8f5,"I'm not a Caro-Kann expert, but here Nc3 is more usual. The idea behind it is to play aggressively with the pawn advance ""g4"" without allowing the Black Light-square Bishop to access ""e4"""
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 6,b1c3,I realized it is better to play
r2qkbnr/pp1n1pp1/2p1p2p/3pPb2/3P4/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 2 7,a2a3,"You didn't put any comment to this move. This could be a starting point for your improvement: what's the purpose of this move? To prevent the pin in ""b4""? Such a pin must not be feared, because White can easily un-pin his Knight just with a Kingside castle. If Black trades his bishop, white gets the Bishop pair, and the doubled pawn is not a problem: he can get rid of it pushing in ""c4"" (idea: c4xd5). In my opinion your ""a3"" is simply a waste of time."
r2qkbnr/pp1n1pp1/2p1p2p/3pPb2/3P4/P1N2N2/1PP1BPPP/R1BQK2R b KQkq - 0 7,c6c5,"This was when I started to cringe. Now black has more space to develop his pieces. How beautiful could have been a pawn in c3 now! :-). In this position Black not only has more space for his pieces, but he's ready to put back the ""d4"" pawn in the chessmen box, weakening the advanced ""e5"" pawn."
r2qkbnr/pp1n1pp1/4p2p/2ppPb2/3P4/P1N2N2/1PP1BPPP/R1BQK2R w KQkq - 0 8,c1e3,Yes. White wants to play 9. Bb5 to pin the knight. This move looks to be reasonable. Aother option was
r2qkbnr/pp1n1pp1/4p2p/2ppPb2/3P4/P1N1BN2/1PP1BPPP/R2QK2R b KQkq - 1 8,a7a6,"White has to be careful that the d4 pawn is not protected by a piece or the knight and bishop get forked. The ""d4"" pawn is protected three times and attacked once: Hard to fork the Nc3 and the Be3! Black would need three more ""d4"" attackers, do you agree? Switching to a comment to Black last move, I believe is a waste of time. I would have captured in ""d4"" followed by Bc5, Ne7 and 0-0"
r2qkbnr/1p1n1pp1/p3p2p/2ppPb2/3P4/P1N1BN2/1PP1BPPP/R2Q1RK1 b kq - 1 9,a8c8,"Now the game heats up. The control of the c-file is what the war is over. Are you sure? Let's evaluate the position in his globality: White has already developed his pieces, Black's Kingside is still sleeping: hardly the control of a file is dangerous in a so early stage, with most of friend pieces still at home. But a development advantage is temporary, while a structural advantage is permanent. In my opinion the real White structural weakness (=structural advantage for Black) is his pawn-center. Sooner or later the ""d4"" pawn will disappear and ""e5"" is weakeneed too. Anyway, the game is equal. In practical games it's hard to capitalize this advantage... Yes, White has a couple of weak points, but he has the d4 square for his pieces and some more space on thekingside"
2rqkbnr/3n1pp1/p3p2p/1pppPb2/3P4/P1N1BN2/1PPQBPPP/R4RK1 w k - 0 11,a3a4,"I disagree with your evaluation of this move: In my opinion is not a mistake, but a perfectly playable move with an idea behind it: White is ahead on development, so why not try to open lines? If Black keeps the position closed he has to waste some more tempo's to protect his pawns, advanced too early without an effective piece development to support them!"
2rqkbnr/3n1pp1/p3p2p/1pppPb2/P2P4/2N1BN2/1PPQBPPP/R4RK1 b k - 0 11,b5b4,"Forces my knight to an undeveloping square And, most important, keeping the position closed: Worst would have been bxa4? because after Rxa4 White would have get free hand on the Queenside"
2rqkbnr/3n1pp1/p3p2p/3pPb2/Pp1N4/4B3/NPPQBPPP/R4RK1 b k - 0 13,a6a5,"I'm in a mess! My bishops are pointing nowhere and I have a knight on a2 blocking the rook! Plus, black's queenside pawns are very dangerous. Not to mention my a-pawn is rendered useless You were probably depressed, because you missed Nxf5!, destroying the pawn structure of Black: Have a look at the position after Nxf5!: the ""d5""pawn is very sad, while the c2 pawn is easily defendable. Furthermore, as we saw in a previous note, the Knight in ""a2"" can escape by preparing the ""c3"" push."
2rqkbnr/3n1pp1/4p2p/p2pPb2/Pp1N4/4B3/NPPQBPPP/R4RK1 w k - 0 14,f2f4,"I knew black's knigside was null so maybe I'd try to get a rook in the action. AS I wrote in the previous note, Nxf5! was your best option. See the following variation:"
2rqk1nr/3n1pp1/4p2p/p1bpPb2/Pp1N1P2/4B3/NPPQB1PP/R4RK1 w k - 1 15,e2d3,Black's bishop on f5 is of little concern. It seems better to keep my bishops. You were still in time to play Nxf5!
2rqk1nr/3n1pp1/4p2p/p1bpP3/Pp1N1P2/3QB3/NPP3PP/R4RK1 b k - 0 16,c5d4,Now black's rook shoots down the c-file.
2rqk1nr/3n1pp1/4p2p/p2pP3/Pp1b1P2/3QB3/NPP3PP/R4RK1 w k - 0 17,e3d4,Now if
2rqk1nr/3n1pp1/4p2p/p2pP3/Pp1B1P2/3Q4/NPP3PP/R4RK1 b k - 0 17,f7f5,Black readies to control the kingside Did you consider exf6 e.p.?
2rqk1nr/3n2p1/4p2p/p2pPp2/Pp1B1P2/3Q4/NPP3PP/R4RK1 w k f6 0 18,c2c3,This is a good plan but played in a wrong moment. Better would have been exf6! See the variation:
1r1qk1nr/3n2p1/4p2p/p2pPp2/PP1B1P2/3Q4/NP4PP/R4RK1 b k - 0 19,a5b4,"I was trying to free my knight, rook, and a-pawn from the corner Correct. You also got a free pawn on the ""a"" file, quite dangerous for Black."
1r1qk2r/3nn1p1/4p2p/3pPp2/Pp1B1P2/3Q4/1P4PP/R1N2RK1 w k - 2 21,c1e2,"I wonder if 21. Nb3 is better Yes, it was. Now Black can stop your pawn with Qa5!"
1r1qk2r/3n2p1/2n1p2p/3pPp2/Pp1B1P2/3Q4/1P2N1PP/R4RK1 w k - 4 22,a1c1,"Why the ""a1"" Rook instead of the other? The game is developing on the Queenside, the ""f1"" Rook was doing nothing, while the ""a1"" Rook was substaining the ""a4"" pawn"
1r1q3r/3n1kp1/4p2p/3pPp2/Pp1N1P2/3Q4/1P4PP/2R2RK1 w - - 1 24,d4c6,"I soon realized that after making this move that black had an out. The knight was lovely placed in ""d4"". You probably were attracted by the chance to win an exchange. However, Rc6 was very poweful. See the variation:"
1r5r/3n1kp1/1qN1p2p/3pPp2/Pp3P2/3Q4/1P4PP/2R2R1K b - - 4 25,d7c5,I saw this move and I looked very far ahead to the following several moves which ended us both up with equal material and me almost out of the mess.
1N5r/5kp1/4p2p/2qpPp2/Pp3P2/3Q4/1P4PP/5R1K b - - 0 27,h8b8,"Unfortunately, my pawns are ina serious mess! White missed a couple of chances to get the upper hand and now has a seriously compromised position. Not only the pawns are weak, the c-file is now totally in the Black's hands"
1r6/5kp1/4p2p/2qpPp2/Pp3P2/3Q4/1P4PP/5R1K w - - 0 28,h2h4,"There was no need to put another pawn in an unprotected square. Better would have been Qd2, trying to control the entrance square of the c-file (=c2), and, if Black doesn't play the immediate Rc8, allowing Rc1!"
1r6/5kp1/4p2p/3pPp2/Ppq2P1P/3Q4/1P4P1/5R1K w - - 1 29,d3d1,I hoped to take control of the game with 30. Qh5+
1r6/5kp1/4p2p/3pPp2/Ppq2P1P/8/1P4P1/3Q1R1K b - - 2 29,g7g6,Now starts a terrible pawnfight which I lose.
1r6/5k2/4p1pp/3pPp2/Ppq2P1P/8/1P4P1/3Q1R1K w - - 0 30,g2g3,"I was hoping the g-pawn would help over there, but now I just left it defenseless How better would have been to have the ""h"" pawn at home now?"
1r6/5k2/4p1pp/3pPp2/P1q2P1P/1p4P1/1P6/3Q1R1K w - - 0 31,d1c1,I gave up trying to control the kingside pawns with the queen
8/5k2/4p1pp/3pPp2/P1r2P1P/1p4P1/1P6/5R1K w - - 0 33,f1a1,"This move was probably played to protect the pawn, but is also useful to threat a further advance! The ""a4"" passed pawn must be take in account in any moment by Black! See the variation:"
8/5k2/4p1pp/3pPp2/P1r2P1P/1p4P1/1P6/R6K b - - 1 33,d5d4,"This is frightening! My a-pawn is in danger. And black has a passed pawn. You too! As we saw, the ""a4"" pawn is not less dangerous than Black's one!"
8/5k2/4p1pp/4Pp2/P1rp1P1P/1p4P1/1P6/R6K w - - 0 34,h1g2,My BIG mistake now black wins a pawn.
8/5k2/4p1pp/4Pp2/P1rp1P1P/1p4P1/1P4K1/R7 b - - 1 34,c4c2,The game is compromised now
8/5k2/4p1pp/4Pp2/P2p1P1P/1p4P1/r7/3R1K2 w - - 2 37,d1b1,Why not 37. Rxd4 b2!! 38. Rd1 Ra1 and game over.
8/5k2/4p1pp/4Pp2/P2p1P1P/6P1/rp6/1R3K2 w - - 0 38,f1e2,"I think 38. Kg2 and king over h3 is better The King must play actively if White wants try to save the game. The game is compromised in any way, but in ""h3"" White King is trapped like a mouse and far from the center."
8/5k2/4p1pp/4Pp2/r2p1P1P/6P1/1p2K3/1R6 w - - 0 39,b1b2,I suppose giving up the pawn on b2 and supporting the d-pawn is better
8/5k2/4p1pp/4Pp2/r2p1P1P/6P1/1R2K3/8 b - - 0 39,a4a3,The danger of the g3 pawn shows. Then black can fork the f and h pawns
8/4k3/4p1p1/4Pp1p/3R1P1P/r2p2P1/5K2/8 w - - 2 43,f2e3,The last mistake. Now black gets what he wants.
8/4k3/4p3/4Pp2/5Ppp/3r4/5K2/2R5 b - - 1 52,d3f3,"White resigns You missed several occasion to get a winning position, the you missed a couple ofchances to draw, and finally a Blunder gave the game to Black. I think you played a bit afraid of your stronger opponent, and this prevented you to be confident on your chances. I hope my comments will be helpful to you.****Copyright freechess.org****"
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,c1f4,Bf4 is playable but Bg5 seems a little stronger.
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e2e3,Was it a mistake to close the bishop's line back to safety? PTFN: This is not essential.
r1bq1rk1/p2nppb1/1p1p2pp/2p4n/2PP3B/2N1PN2/PP2BPPP/R2Q1RK1 w - - 0 11,a2a3,It's time to consider a concrete plan. Black's last move 10....b6 weakened the light long diagonal somehow and brought white some tempi. For example let's see what if Nd2:
r1bq1rk1/p2nppb1/1p1p1npp/2p5/2PP3B/P1N1PN2/1P2BPPP/R2Q1RK1 w - - 1 12,b2b4,"In my opinion this was a strategical slip. You had fewer pieces on the Q-side than on the K-side, so active performance is not necessary. Moreover, after b4 your c4 pawn floated up and became weak. This would affect the dark long diagonal too."
r1bq1rk1/p2nppb1/1p1p1npp/8/1PPp3B/P1N1PN2/4BPPP/R2Q1RK1 w - - 0 13,f3d4,"For as mentioned the possible weak pawn, recapturing by e-pawn (exd4) may help a little."
r1bq1rk1/p2nppb1/1p1p1npp/8/1PPN3B/P1N1P3/4BPPP/R2Q1RK1 b - - 0 13,c8b7,"The opening phase is over, all the pieces are more or less in the game. Now what? I feel this is my biggest problem at the moment. I can't find a decent strategy, so I usually just end up eating something, because I don't know any better moves (or strategy). PTFN: This is not a pure positional or tactical problem; We'll discuss it later."
r2q1rk1/pb1nppb1/1p1p1npp/8/1PPN3B/P1N1P3/4BPPP/R2Q1RK1 w - - 1 14,h4f6,"14.Bxf6 is not bad but I think 14.Bg3 is more necessary. Your lineup is not so solid as that 3 moves before, concerning the major deficiency - the c4 pawn. How can black press on it? well, first Rc8, then Ne5,Ba6(tempting your b5 to fix the weakness). Thus you would have guarded the point e5."
r2q1rk1/pb1nppb1/1p1p2pp/3N4/1PPN4/P3P3/4BPPP/R2Q1RK1 w - - 2 16,d5f4,I guess that was a mistake. More or less a result of having no strategy.
r2q1rk1/pb1n1pb1/1p1p2pp/4p3/1PPN1N2/P3P3/4BPPP/R2Q1RK1 w - - 0 17,f4g6,"I thought I found a clever way out, but I still lost in pieces."
5rk1/pb1nq1b1/1p1p2pp/4p3/1PP5/P3P3/4BPPP/R2Q1RK1 w - - 0 20,e2g4,"I made this move while I was thinking that I was a bit ahead. I miscalculated the result of the exchange of my knights. I thought this move was clever, because I wanted to force the exchange of bishops. PTFN: Normally the loss trading 2N at R+P is slight, but in this particular situation black has winning material, due to the weakness of your c4 pawn. However, maybe there is a more clever way to exchange light-squared bishops."
5rk1/pb2q1b1/1p1p1npp/4p3/1PP3B1/P3P3/5PPP/R2Q1RK1 w - - 2 21,g4f3,lost a tempo
3r2k1/pb2q1b1/1p1p1npp/8/1PP1p3/P3P3/4BPPP/R2Q1RK1 w - - 2 23,h2h3,"Again, I didn't know anything better to do. Get the control of the g4 square and to have a escape for the king, just in case. PTFN: Now there is indeed nothing interesting to play for white, but instinctively I would play 23.Rc1."
3r2k1/pb2q1b1/1p3npp/3p4/1PP1p3/P3P2P/4BPP1/R2Q1RK1 w - - 0 24,d1b3,These tactical calculations went over my head so I just tried something neat with a possible check after ...d4 c5. PTFN: Correct
5r1k/pb2q1b1/1p3npp/3p4/1PP1p3/PQ2P2P/4BPP1/R2R2K1 w - - 4 26,c4d5,"I thought I gained something. After few moves it came very clear that I didn't. I guess I just need to be more careful with others play. I get so excited about my own possibly good moves that I don't bother to check out if there is a hidden danger. PTFN: A blunder which accelerates the come of failure. I agree with your statement. Similar slip occurs not only to beginners but also occasionally to GMs, The remarkable difference between them is the latter make such blunders much more seldom."
5r1k/p3q1b1/1p4pp/3Q4/1P2p3/P3P2P/4BPP1/R5K1 b - - 0 28,g7a1,"Well the rest of the game is not very interesting, although I managed to hold him for a while."
8/p1b5/1p2B1pp/1Pr3k1/P5P1/3KP2P/8/8 b - - 4 42,g5h4,"An interesting game. By going over it I get a general impression of your chess skill. You should do more effort if you like to improve it, these include: 1.Do more investigation before making a move, more explicitly, try to evaluate the position rather than simply calculate moves. Taking this game for instance, where you go wrong is the 11th move, that is of high probability due to having not evaluated the position and been eager to start attack. 2.Get familiar with frequently used openings, and understand the ideas they imply. You said you have no idea on what to do after 13th move. I think if you had an explicit thought with the opening you had chosen, you won't be unable to make a fit move. Good luck!"
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,e7e6,"I move the kp up to protect the qp cause I felt Steve was going to attack it with the kb H: This is certainly a reasonable move, but protecting the pawn isn't really neccessary, yet - I would say the most important plus point of your move is that your king's bishop can now move and supports moves like c7-c5. You could also have considered developing your queen's bishop, after all your opponent doesn't put any immediate pressure on you."
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 1 4,f8d6,"making way for king side castle and developing my kb H: One question of course is, whether the bishop belongs to e7 or to d6. I would say that d6 mostly makes sense, if you want to advance your e-pawn, if you don't intend to do that then e7 might have been a more flexible position for it. On d6 the bishop doesn't do much at the moment (the pawns on f2,g3 and h2 seriously reduce it's options) and it will be exposed to ideas like Nb1-c3-b5."
rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/2N2NP1/PPP1PPBP/R1BQK2R b KQkq - 3 5,c8d7,"developing qb as well as prevent qk to advance H: This move isn't really bad, but the bishop looks rather passive on d7 and you might well want that square for your other knight. b7 might be a better square for that bishop."
rn1qk2r/pppb1ppp/3bpn2/3p4/3P4/2NQ1NP1/PPP1PPBP/R1B1K2R b KQkq - 5 6,a7a6,"this may have been a mistake but my reason was to prevent q from attacking my qr H: a6 doesn't quite look right, but it's certainly not a real mistake. However I do not think that your queen's rook was really endangered at all."
rn1qk2r/1ppb1ppp/p2bpn2/3p4/3P4/2NQ1NP1/PPP1PPBP/R1B1K2R w KQkq - 0 7,e2e4,"I took the pawn to protect my kp H: That looks like a quite sensible decision. I don't think white achieves much by playing 7.e4, since you get to activate your queen's bishop in a pleasant way."
rn1qk2r/1ppb1ppp/p2bp3/8/3PQ3/5NP1/PPP2PBP/R1B1K2R b KQkq - 0 9,d7c6,I did this mosty to pin the knight did not think Steve would leave queen there and had no desire to take knight and let the bishop out H: Now all of black's pieces have found good locations.
rn1qk2r/1pp2ppp/p1bbp3/8/3P4/3Q1NP1/PPP2PBP/R1B1K2R b KQkq - 2 10,d6b4,"Not sure now but rember I done this to either force Steve into advaning his bp or having to take my bishop with his q after exchange H: But why would you want to force your opponent to advance his c-pawn? That doesn't seem to help you with improving your position at all, nor does exchanging these bishops. Quite possibly it would have made more sense to just finish deploying your pieces by e.g. playing Nbd7."
rn1qk2r/1pp2ppp/p1b1p3/8/3P4/5NP1/PPPQ1PBP/R3K2R b KQkq - 0 12,d8d6,"I advance the queen so it would not be blocked in when I move my knight and open up for a queen side castle H: This looks like a quite decent location for your queen, but you don't seem to make any real long-term plans - so far you've mostly swapped of pieces, which has led to a pretty calm position with approximately equal chances. Of course this is quite okay, especially with black, but it won't create winning chances unless your opponent blunders."
r3k2r/1ppn1ppp/p1bqp3/8/3P4/5NP1/PPPQ1PBP/2KR3R w kq - 3 14,f3h4,"I seen no better move then to trade bishop and Steve taking back with his knight seem to help me gain time H: This was a rather pointless move by white, which also blunders a pawn (which you overlook). However the gain in time you get by attacking his knight later is rather irrelevant, because firstly the position isn't very tactical and secondly both sides are already more or less fully developed."
r3k2r/1ppn1ppp/p2qp3/8/3P4/6P1/PPPQ1PNP/2KR3R b kq - 0 15,c7c6,I advanced this p to help defend d5 H: You could simply have won a pawn instead without taking any real risk. Another point is that it might have been safer (but also less likely to create winning chances for you) to eventually castle queenside.
r3k2r/1p1n1ppp/p1pqp3/8/3P4/4N1P1/PPPQ1P1P/2KR3R b kq - 1 16,d7f6,"defending d5 H: Overprotecting d5 again and again isn't really neccessary, but f6 is certainly a good square for the knight."
r3k2r/1p3ppp/p1pqpn2/8/2NP4/6P1/PPPQ1P1P/2KR3R b kq - 3 17,d6d5,"goal was to attack krp H: White doesn't dare to give you that pawn, which would obviously have been a dangerous decision, but did you really check the possibility Nb6 carefully enough?"
r3k2r/1p3ppp/p1p1pn2/3q4/2NP4/6P1/PPPQ1P1P/2KR3R w kq - 4 18,b2b3,White doesn't dare to take any risks.
r3k2r/1p3ppp/p1p1pn2/3q4/2NP4/1P4P1/P1PQ1P1P/2KR3R b kq - 0 18,a8d8,protecting from fork
3rk2r/1p3ppp/p1p1pn2/3q4/1QNP4/1P4P1/P1P2P1P/2KR3R b k - 2 19,f6e4,"hoping to fork Steve's rooks and if Stece takes qnp will castle kings side and have the rooks attack his queen H: This is a nice active move, which also possibly eyes the c3 square that white weakened by playing b2-b3."
3rk2r/5ppp/p1p1p3/1p1q4/1Q1Pn3/1P2N1P1/P1P2P1P/2KR1R2 b k - 1 21,d5g5,pinning knight
3rk2r/5ppp/p1p1p2q/1p6/3Pn2P/1P2N1P1/P1P2P2/2KRQR2 b k - 2 23,e8g8,"This made of been a mistake for me at this time. I did not see my knight beening attacked H: At the moment that isn't problematic, yet (but after 24. Kb2 it is). Getting your king out of the centre, which might well be opened up soon looks sensible."
3r1rk1/5ppp/p1p1p2q/1p6/3Pn2P/1P2N1P1/PKP2P2/3RQR2 b - - 4 24,b5b4,again not seeing my knight beeing attacked. Was tring to get Steve to take free pawn so I could take kbp and with retake from rook would take knight theating Steve's rook H: As you say the problem is the unprotected knight on e4.
3r1rk1/5ppp/p1p1p2q/8/1p1Pn1NP/1P4P1/PKP2P2/3RQR2 b - - 1 25,h6g6,now I see my knight being attacked but too late I fear
